Month,Valor,Indice,Jogo
2025-05-01,13178039.0,100.0,League of Legends
2025-06-01,20574951.0,156.13059727627152,League of Legends
2025-07-01,23643626.0,179.41687682059523,League of Legends
2025-08-01,29634339.0,224.876698270509,League of Legends
2025-09-01,35177744.0,266.94217553916786,League of Legends
2025-10-01,33170729.0,251.71217811694135,League of Legends
2025-11-01,39531642.0,299.9812187534124,League of Legends
2025-12-01,24839037.0,188.48811268505125,League of Legends
2026-01-01,29202369.0,221.59874469942,League of Legends
2026-02-01,23785537.0,180.49375176382466,League of Legends
2026-03-01,21100073.0,160.11542385024055,League of Legends
2026-04-01,16413143.0,124.54920644869847,League of Legends
2012-07-01,52721.05,100.0,Dota 2
2012-08-01,55768.61,105.78053737548854,Dota 2
2012-09-01,61867.68,117.34910438999222,Dota 2
2012-10-01,75965.44,144.08939123936264,Dota 2
2012-11-01,101077.43,191.72120054513329,Dota 2
2012-12-01,121924.42,231.26326201773293,Dota 2
2013-01-01,147748.14,280.24506340446555,Dota 2
2013-02-01,166972.97,316.7102514081188,Dota 2
2013-03-01,180878.9,343.0866797986762,Dota 2
2013-04-01,174835.73,331.624142538891,Dota 2
2013-05-01,194363.84,368.6645846393423,Dota 2
2013-06-01,210224.82,398.7493041204604,Dota 2
2013-07-01,237800.08,451.0533838002088,Dota 2
2013-08-01,330720.07,627.3017513877284,Dota 2
2013-09-01,312424.76,592.5996542178124,Dota 2
2013-10-01,329677.64,625.3244956236645,Dota 2
2013-11-01,348246.37,660.5452091716686,Dota 2
2013-12-01,366606.49,695.3702363666883,Dota 2
2014-01-01,393860.32,747.0646354729278,Dota 2
2014-02-01,421114.2,798.7591294179459,Dota 2
2014-03-01,409755.56,777.2143384852919,Dota 2
2014-04-01,421710.21,799.8896266292116,Dota 2
2014-05-01,482387.24,914.9803351792121,Dota 2
2014-06-01,513783.06,974.5311597549744,Dota 2
2014-07-01,537018.66,1018.603878337021,Dota 2
2014-08-01,490883.89,931.0965733800825,Dota 2
2014-09-01,477998.45,906.6557854974436,Dota 2
2014-10-01,495693.04,940.2184516431292,Dota 2
2014-11-01,528789.8,1002.9955776677438,Dota 2
2014-12-01,523940.32,993.7972024457023,Dota 2
2015-01-01,558504.33,1059.3573724347293,Dota 2
2015-02-01,628970.41,1193.0157119404867,Dota 2
2015-03-01,571713.15,1084.4115396032514,Dota 2
2015-04-01,526061.73,997.821041121146,Dota 2
2015-05-01,580348.42,1100.7907088345166,Dota 2
2015-06-01,568448.32,1078.2188897982871,Dota 2
2015-07-01,554991.01,1052.693392866796,Dota 2
2015-08-01,606943.98,1151.2365174821061,Dota 2
2015-09-01,508156.85,963.8595020395078,Dota 2
2015-10-01,521941.72,990.0063067787913,Dota 2
2015-11-01,539536.33,1023.3793333023525,Dota 2
2015-12-01,573344.25,1087.5053702458506,Dota 2
2016-01-01,612174.78,1161.1581711669248,Dota 2
2016-02-01,709178.26,1345.1520028527505,Dota 2
2016-03-01,672554.89,1275.6856891127927,Dota 2
2016-04-01,656944.37,1246.0760360425293,Dota 2
2016-05-01,623798.67,1183.206081821208,Dota 2
2016-06-01,640226.98,1214.3668989900618,Dota 2
2016-07-01,638212.65,1210.5461670433347,Dota 2
2016-08-01,666013.05,1263.2772867763447,Dota 2
2016-09-01,622583.9,1180.9019357543145,Dota 2
2016-10-01,639355.14,1212.713214171569,Dota 2
2016-11-01,584251.33,1108.1936531992437,Dota 2
2016-12-01,593920.6,1126.5340883764643,Dota 2
2017-01-01,580281.47,1100.6637197096793,Dota 2
2017-02-01,591567.25,1122.07031157384,Dota 2
2017-03-01,548435.44,1040.2589478016844,Dota 2
2017-04-01,540278.03,1024.7861717473381,Dota 2
2017-05-01,567526.42,1076.470252394442,Dota 2
2017-06-01,555289.07,1053.2587457950856,Dota 2
2017-07-01,498444.38,945.4371261573887,Dota 2
2017-08-01,556496.3,1055.5485901741336,Dota 2
2017-09-01,491450.16,932.1706604857072,Dota 2
2017-10-01,466126.79,884.1379107586059,Dota 2
2017-11-01,487381.24,924.4528324075487,Dota 2
2017-12-01,513074.33,973.1868580007417,Dota 2
2018-01-01,486861.91,923.4677799474781,Dota 2
2018-02-01,438847.72,832.3956370368192,Dota 2
2018-03-01,437262.35,829.3885459413269,Dota 2
2018-04-01,430340.94,816.2601844993603,Dota 2
2018-05-01,474325.87,899.6897254512191,Dota 2
2018-06-01,473900.0,898.8819456365152,Dota 2
2018-07-01,441714.35,837.8329908072772,Dota 2
2018-08-01,476101.08,903.0569004221273,Dota 2
2018-09-01,466470.74,884.7903067180946,Dota 2
2018-10-01,431173.91,817.8401416511999,Dota 2
2018-11-01,461073.48,874.5529157708353,Dota 2
2018-12-01,439367.83,833.3821689818393,Dota 2
2019-01-01,475747.0,902.3852901260502,Dota 2
2019-02-01,564909.67,1071.5068649050047,Dota 2
2019-03-01,586505.85,1112.4699716716566,Dota 2
2019-04-01,520218.98,986.7386556223746,Dota 2
2019-05-01,548523.18,1040.4253708907543,Dota 2
2019-06-01,507528.44,962.6675492995682,Dota 2
2019-07-01,464787.61,881.5977868422575,Dota 2
2019-08-01,467148.29,886.0754670098565,Dota 2
2019-09-01,421971.24,800.3847419579087,Dota 2
2019-10-01,388355.86,736.6239101838828,Dota 2
2019-11-01,401931.8,762.3744216019976,Dota 2
2019-12-01,384179.76,728.7027856994503,Dota 2
2020-01-01,378925.43,718.73650088532,Dota 2
2020-02-01,405978.65,770.050387843186,Dota 2
2020-03-01,437147.36,829.1704357178014,Dota 2
2020-04-01,493300.27,935.6799039472849,Dota 2
2020-05-01,484189.02,918.3979074771842,Dota 2
2020-06-01,457184.42,867.1762417478407,Dota 2
2020-07-01,450213.99,853.9549003671208,Dota 2
2020-08-01,429717.12,815.0769379593161,Dota 2
2020-09-01,408609.78,775.0410509654113,Dota 2
2020-10-01,406361.36,770.7763028240142,Dota 2
2020-11-01,425904.83,807.8458793973185,Dota 2
2020-12-01,422552.32,801.4869203098193,Dota 2
2021-01-01,432671.65,820.681018302936,Dota 2
2021-02-01,404832.13,767.8756967093789,Dota 2
2021-03-01,390412.76,740.5253878668956,Dota 2
2021-04-01,413784.97,784.8572249604284,Dota 2
2021-05-01,415144.96,787.4368207765209,Dota 2
2021-06-01,421509.96,799.5097973200458,Dota 2
2021-07-01,423156.18,802.6323072093595,Dota 2
2021-08-01,424980.17,806.0920068928823,Dota 2
2021-09-01,391082.08,741.7949376956642,Dota 2
2021-10-01,450761.44,854.9932901563986,Dota 2
2021-11-01,448860.53,851.3876904955421,Dota 2
2021-12-01,449297.37,852.2162779383187,Dota 2
2022-01-01,485791.43,921.4373196284974,Dota 2
2022-02-01,450200.14,853.9286300253883,Dota 2
2022-03-01,448723.6,851.127965015871,Dota 2
2022-04-01,451826.77,857.0139820811612,Dota 2
2022-05-01,446916.9,847.7010605820634,Dota 2
2022-06-01,458143.51,868.995420235371,Dota 2
2022-07-01,444594.56,843.2961027900619,Dota 2
2022-08-01,468466.87,888.576517349332,Dota 2
2022-09-01,490724.86,930.7949291601741,Dota 2
2022-10-01,456302.65,865.5037219478746,Dota 2
2022-11-01,523684.06,993.3111347365045,Dota 2
2022-12-01,468545.02,888.7247503606245,Dota 2
2023-01-01,428296.61,812.3825492853424,Dota 2
2023-02-01,401847.04,762.2136509041454,Dota 2
2023-03-01,418744.49,794.2643213668923,Dota 2
2023-04-01,429226.47,814.1462850227754,Dota 2
2023-05-01,433220.69,821.72242396538,Dota 2
2023-06-01,421336.42,799.1806308865245,Dota 2
2023-07-01,438510.22,831.755475279798,Dota 2
2023-08-01,444319.24,842.7738825383788,Dota 2
2023-09-01,437273.4,829.4095053114457,Dota 2
2023-10-01,435620.98,826.2752354135586,Dota 2
2023-11-01,433727.63,822.6839753760594,Dota 2
2023-12-01,435517.65,826.0792415932535,Dota 2
2024-01-01,440229.36,835.0162980441398,Dota 2
2024-02-01,427922.41,811.6727758646688,Dota 2
2024-03-01,428918.55,813.5622298873031,Dota 2
2024-04-01,456550.81,865.9744257749039,Dota 2
2024-05-01,512919.2,972.8926112055811,Dota 2
2024-06-01,486674.34,923.1120017526207,Dota 2
2024-07-01,475393.65,901.7150644761438,Dota 2
2024-08-01,449798.09,853.1660314049132,Dota 2
2024-09-01,426811.67,809.5659513609838,Dota 2
2024-10-01,410681.51,778.9706578302215,Dota 2
2024-11-01,454956.21,862.949827440842,Dota 2
2024-12-01,437635.69,830.0966881350048,Dota 2
2025-01-01,446491.16,846.8935273481843,Dota 2
2025-02-01,431748.69,818.9303703169796,Dota 2
2025-03-01,402851.23,764.1183739701694,Dota 2
2025-04-01,393173.22,745.7613609744114,Dota 2
2025-05-01,408987.68,775.7578424557173,Dota 2
2025-06-01,411123.31,779.8086532798568,Dota 2
2025-07-01,426672.67,809.30229955587,Dota 2
2025-08-01,532355.19,1009.7583223399381,Dota 2
2025-09-01,580820.63,1101.686385229429,Dota 2
2025-10-01,538998.03,1022.3582990095986,Dota 2
2025-11-01,583743.77,1107.230925787707,Dota 2
2025-12-01,594289.94,1127.2346434678366,Dota 2
2026-01-01,569324.18,1079.8801996545972,Dota 2
2026-02-01,597009.82,1132.393645422464,Dota 2
2026-03-01,477855.57,906.3847742030933,Dota 2
2026-04-01,425918.58,807.8719600614935,Dota 2
2015-09-01,8041.89,100.0,SMITE
2015-10-01,9430.61,117.26857741152887,SMITE
2015-11-01,7849.6,97.60889542134996,SMITE
2015-12-01,7736.94,96.20798095969977,SMITE
2016-01-01,10017.13,124.56188781492908,SMITE
2016-02-01,10076.04,125.29442705632631,SMITE
2016-03-01,11009.02,136.8959286933793,SMITE
2016-04-01,11334.55,140.9438577249875,SMITE
2016-05-01,9574.32,119.05559513994844,SMITE
2016-06-01,9161.17,113.91812123766924,SMITE
2016-07-01,8520.67,105.95357558981782,SMITE
2016-08-01,9161.49,113.92210040177122,SMITE
2016-09-01,9557.76,118.84967339767145,SMITE
2016-10-01,10296.03,128.02997802755323,SMITE
2016-11-01,9659.57,120.11566932648915,SMITE
2016-12-01,9621.91,119.64737145123846,SMITE
2017-01-01,10495.74,130.51334947381773,SMITE
2017-02-01,10988.97,136.64660919261516,SMITE
2017-03-01,10214.13,127.01156071520498,SMITE
2017-04-01,9858.24,122.58610848942226,SMITE
2017-05-01,8613.04,107.10218617762742,SMITE
2017-06-01,9290.75,115.52943400121116,SMITE
2017-07-01,8641.22,107.4526013163572,SMITE
2017-08-01,8653.33,107.6031878078412,SMITE
2017-09-01,8184.59,101.77445849172271,SMITE
2017-10-01,7945.72,98.80413683847951,SMITE
2017-11-01,8477.82,105.42074064678826,SMITE
2017-12-01,7836.95,97.4515940904439,SMITE
2018-01-01,8858.76,110.15768681242841,SMITE
2018-02-01,9616.48,119.57985001038311,SMITE
2018-03-01,8934.23,111.09614779610264,SMITE
2018-04-01,8450.85,105.085371722319,SMITE
2018-05-01,8066.66,100.30801217126819,SMITE
2018-06-01,7534.9,93.69563622481779,SMITE
2018-07-01,7976.04,99.18116263714126,SMITE
2018-08-01,7779.56,96.73795587853104,SMITE
2018-09-01,7014.46,87.22402320847462,SMITE
2018-10-01,6522.3,81.10406881964313,SMITE
2018-11-01,6756.61,84.01768738443324,SMITE
2018-12-01,6683.82,83.11255190011303,SMITE
2019-01-01,6802.51,84.58844873530973,SMITE
2019-02-01,7131.06,88.67393112813033,SMITE
2019-03-01,8895.46,110.61404719537322,SMITE
2019-04-01,8945.07,111.23094198005691,SMITE
2019-05-01,8930.96,111.05548571293562,SMITE
2019-06-01,8402.26,104.48116052321035,SMITE
2019-07-01,7973.44,99.14883192881274,SMITE
2019-08-01,8169.18,101.58283687043716,SMITE
2019-09-01,7642.4,95.03238666532368,SMITE
2019-10-01,7483.03,93.05063859366392,SMITE
2019-11-01,8626.64,107.27130065196116,SMITE
2019-12-01,9020.21,112.165299450751,SMITE
2020-01-01,9659.47,120.11442583770729,SMITE
2020-02-01,10589.99,131.68533765072638,SMITE
2020-03-01,12686.08,157.74998165854046,SMITE
2020-04-01,16504.68,205.2338442828738,SMITE
2020-05-01,15307.69,190.3494079128165,SMITE
2020-06-01,14765.63,183.6089526218339,SMITE
2020-07-01,15841.85,196.9916275900317,SMITE
2020-08-01,14947.1,185.86551171428607,SMITE
2020-09-01,13761.73,171.1255687406816,SMITE
2020-10-01,12330.07,153.32303724621949,SMITE
2020-11-01,13492.88,167.78244915063496,SMITE
2020-12-01,12195.26,151.64669001938597,SMITE
2021-01-01,14784.05,183.8380032554536,SMITE
2021-02-01,15981.31,198.72579704522195,SMITE
2021-03-01,15210.07,189.13551416395896,SMITE
2021-04-01,14326.54,178.1489177295387,SMITE
2021-05-01,14203.09,176.61383082832518,SMITE
2021-06-01,13399.37,166.61966279071214,SMITE
2021-07-01,12841.91,159.68771022732219,SMITE
2021-08-01,13596.04,169.0652321780079,SMITE
2021-09-01,13233.73,164.55994797242937,SMITE
2021-10-01,11843.49,147.2724695314161,SMITE
2021-11-01,12552.85,156.09328155446045,SMITE
2021-12-01,12151.7,151.1050263060052,SMITE
2022-01-01,14390.71,178.94686448086208,SMITE
2022-02-01,12739.86,158.41872992542798,SMITE
2022-03-01,11009.58,136.90289223055774,SMITE
2022-04-01,11544.14,143.55008586290037,SMITE
2022-05-01,11959.3,148.71255388969507,SMITE
2022-06-01,12024.15,149.51895636473515,SMITE
2022-07-01,12722.38,158.20136808635777,SMITE
2022-08-01,11341.07,141.0249331935652,SMITE
2022-09-01,10809.62,134.4164120623386,SMITE
2022-10-01,9462.34,117.66313640201496,SMITE
2022-11-01,9014.59,112.09541538121013,SMITE
2022-12-01,8560.37,106.4472406362186,SMITE
2023-01-01,12704.16,157.97480443030182,SMITE
2023-02-01,12338.19,153.424008535307,SMITE
2023-03-01,10775.19,133.98827887474215,SMITE
2023-04-01,10873.59,135.21187183609823,SMITE
2023-05-01,10206.18,126.91270335704665,SMITE
2023-06-01,9926.53,123.43528697855852,SMITE
2023-07-01,10133.78,126.01241747897572,SMITE
2023-08-01,9471.08,117.77181732155002,SMITE
2023-09-01,9586.58,119.2080468646052,SMITE
2023-10-01,9452.35,117.53891187270654,SMITE
2023-11-01,8933.19,111.08321551277125,SMITE
2023-12-01,8933.28,111.08433465267493,SMITE
2024-01-01,12585.75,156.50238936369433,SMITE
2024-02-01,11805.15,146.7957159324487,SMITE
2024-03-01,10394.41,129.25332229115293,SMITE
2024-04-01,10148.52,126.19570772542275,SMITE
2024-05-01,8499.04,105.6846089663002,SMITE
2024-06-01,7486.79,93.09739377186207,SMITE
2024-07-01,7082.03,88.06424857838144,SMITE
2024-08-01,7084.53,88.09533579792809,SMITE
2024-09-01,5075.62,63.11476531014475,SMITE
2024-10-01,4358.9,54.20243251275508,SMITE
2024-11-01,4208.45,52.33160364043775,SMITE
2024-12-01,3820.26,47.50450453811231,SMITE
2025-01-01,3134.94,38.98262721822855,SMITE
2025-02-01,2125.02,26.424385312407907,SMITE
2025-03-01,1824.03,22.681608427869566,SMITE
2025-04-01,1699.66,21.135081429862883,SMITE
2025-05-01,1672.25,20.794241154753422,SMITE
2025-06-01,1583.53,19.691017907481946,SMITE
2025-07-01,1484.4,18.45834747801823,SMITE
2025-08-01,1482.9,18.439695146290237,SMITE
2025-09-01,1387.0,17.247189404480785,SMITE
2025-10-01,1292.04,16.066372457220876,SMITE
2025-11-01,1339.59,16.657651372998135,SMITE
2025-12-01,1324.79,16.473615033281977,SMITE
2026-01-01,1441.47,17.92451774396317,SMITE
2026-02-01,1292.18,16.068113341515488,SMITE
2026-03-01,1211.53,15.065239638940596,SMITE
2026-04-01,1198.11,14.898363444414183,SMITE
2023-09-01,2970690.0,100.0,Heroes of the Storm
2023-10-01,3964841.0,133.46532287111748,Heroes of the Storm
2023-11-01,4867813.0,163.86135880889626,Heroes of the Storm
2023-12-01,3588358.0,120.79207187555754,Heroes of the Storm
2024-01-01,3882486.0,130.69307130666613,Heroes of the Storm
2024-02-01,4088375.0,137.62375071111427,Heroes of the Storm
2024-03-01,3717774.0,125.14850085333711,Heroes of the Storm
2024-04-01,3838366.0,129.20789446222932,Heroes of the Storm
2024-05-01,4161907.0,140.0990005688914,Heroes of the Storm
2024-06-01,3685088.0,124.04821775412447,Heroes of the Storm
2024-07-01,3176800.0,106.93811875355557,Heroes of the Storm
2024-08-01,3494480.0,117.63193062891114,Heroes of the Storm
2024-09-01,3250111.0,109.40592926222527,Heroes of the Storm
2024-10-01,3365165.0,113.27890153466029,Heroes of the Storm
2024-11-01,3246038.0,109.26882306804143,Heroes of the Storm
2024-12-01,3160473.0,106.38851579935975,Heroes of the Storm
2025-01-01,3326954.0,111.99263470776151,Heroes of the Storm
2025-02-01,2575110.0,86.68390171980246,Heroes of the Storm
2025-03-01,1942663.0,65.39433599601439,Heroes of the Storm
